,dv,heat,year,region,country,rain,region_id
335,18.84,0.0,2013,5,NGA,-0.1455822,NGA_5
336,13.93,0.0,2013,6,NGA,0.007070772,NGA_6
337,19.92,0.08333333,2018,1,NGA,-0.05490964,NGA_1
338,19.39,0.0,2018,2,NGA,0.4296704,NGA_2
339,6.57,0.0,2018,3,NGA,0.2359598,NGA_3
340,16.67,0.08333333,2018,4,NGA,-0.256047,NGA_4
341,17.52,0.08333333,2018,5,NGA,-0.2399223,NGA_5
342,10.44,0.0,2018,6,NGA,0.05140388,NGA_6
349,31.08,0.0,2000,1,PER,0.490644,PER_1
350,25.8,0.0,2000,2,PER,-0.1433607,PER_2
351,38.78,0.0,2000,3,PER,-0.1251013,PER_3
352,30.16,0.0,2000,4,PER,0.1378349,PER_4
353,28.61,0.0,2000,5,PER,-0.2783499,PER_5
354,22.94,0.0,2000,6,PER,0.3203938,PER_6
355,40.86,0.0,2000,8,PER,-0.1401352,PER_8
356,21.67,0.0,2000,9,PER,-0.04232532,PER_9
357,28.0,0.0,2000,10,PER,0.005805764,PER_10
358,26.55,0.0,2000,11,PER,-0.004636306,PER_11
359,29.7,0.0,2000,12,PER,0.0256132,PER_12
360,19.26,0.0,2000,13,PER,-0.1415778,PER_13
361,22.42,0.0,2000,14,PER,0.7374808,PER_14
362,23.17,0.0,2000,15,PER,0.1516616,PER_15
363,38.72,0.0,2000,16,PER,0.2575689,PER_16
364,31.11,0.0,2000,17,PER,0.01378813,PER_17
365,26.41,0.0,2000,18,PER,-0.1384499,PER_18
366,31.58,0.0,2000,19,PER,0.1086432,PER_19
367,19.94,0.0,2000,20,PER,1.007714,PER_20
368,30.77,0.0,2000,21,PER,0.007935476,PER_21
369,36.47,0.0,2000,22,PER,-0.3144239,PER_22
370,31.18,0.0,2000,23,PER,-0.2604069,PER_23
371,28.21,0.0,2000,24,PER,0.7332967,PER_24
372,35.93,0.0,2000,25,PER,-0.1910425,PER_25
373,9.68,0.0,2004,1,PER,-0.485504,PER_1
374,8.46,0.0,2004,2,PER,-0.2628122,PER_2
375,16.53,0.0,2004,3,PER,-0.3808495,PER_3
376,10.86,0.0,2004,4,PER,-0.4968499,PER_4
377,12.78,0.0,2004,5,PER,-0.2789483,PER_5
378,6.65,0.0,2004,6,PER,0.1419227,PER_6
379,15.85,0.0,2004,8,PER,-0.2746116,PER_8
380,13.52,0.0,2004,9,PER,-0.6778089,PER_9
381,11.97,0.0,2004,10,PER,-0.3580795,PER_10
382,11.84,0.0,2004,12,PER,-0.4680029,PER_12
383,7.6,0.0,2004,13,PER,-0.2759934,PER_13
384,8.17,0.0,2004,14,PER,0.124053,PER_14
385,7.4,0.0,2004,15,PER,-0.8753293,PER_15
386,13.39,0.0,2004,16,PER,1.822265,PER_16
387,17.42,0.0,2004,17,PER,-0.1736882,PER_17
388,10.38,0.0,2004,18,PER,-0.5890428,PER_18
389,9.62,0.0,2004,20,PER,-0.2375037,PER_20
390,15.27,0.0,2004,21,PER,-0.3994101,PER_21
391,11.98,0.0,2004,22,PER,0.1740777,PER_22
392,9.87,0.0,2004,24,PER,-0.3147755,PER_24
393,13.89,0.0,2004,25,PER,0.09732936,PER_25
394,9.68,0.0,2007,1,PER,-0.485504,PER_1
395,8.46,0.0,2007,2,PER,-0.2628122,PER_2
396,16.53,0.0,2007,3,PER,-0.3808495,PER_3
397,10.86,0.0,2007,4,PER,-0.4968499,PER_4
398,12.78,0.0,2007,5,PER,-0.2789483,PER_5
399,6.65,0.0,2007,6,PER,0.1419227,PER_6
400,15.85,0.0,2007,8,PER,-0.2746116,PER_8
401,13.52,0.0,2007,9,PER,-0.6778089,PER_9
402,11.97,0.0,2007,10,PER,-0.3580795,PER_10
403,11.84,0.0,2007,12,PER,-0.4680029,PER_12
404,7.6,0.0,2007,13,PER,-0.2759934,PER_13
405,8.17,0.0,2007,14,PER,0.124053,PER_14
406,7.4,0.0,2007,15,PER,-0.8753293,PER_15
407,13.39,0.0,2007,16,PER,1.822265,PER_16
408,17.42,0.0,2007,17,PER,-0.1736882,PER_17
409,10.38,0.0,2007,18,PER,-0.5890428,PER_18
410,9.62,0.0,2007,20,PER,-0.2375037,PER_20
411,15.27,0.0,2007,21,PER,-0.3994101,PER_21
412,11.98,0.0,2007,22,PER,0.1740777,PER_22
413,9.87,0.0,2007,24,PER,-0.3147755,PER_24
414,13.89,0.0,2007,25,PER,0.09732936,PER_25
415,14.6,0.0,2009,1,PER,0.6550113,PER_1
416,10.83,0.0,2009,2,PER,0.3739811,PER_2
417,15.75,0.0,2009,3,PER,-0.5076045,PER_3
418,12.14,0.0,2009,4,PER,-0.3657429,PER_4
419,12.7,0.0,2009,5,PER,-0.4283661,PER_5
420,8.55,0.0,2009,6,PER,0.7247445,PER_6
