dv,heat,year,region,country,rain,region_id
7.62,0.0,2000,9,KHM,0.324396455970229,KHM_9
33.83,0.0,2000,10,KHM,0.465601230889635,KHM_10
31.24,0.0,2000,11,KHM,0.635569684404388,KHM_11
15.41,0.0,2000,12,KHM,-0.0141319950307895,KHM_12
15.24,0.0,2000,13,KHM,0.195493413007619,KHM_13
35.26,0.0,2000,14,KHM,0.480046691833258,KHM_14
14.86,0.0,2000,15,KHM,0.484739766228933,KHM_15
15.19,0.0,2000,16,KHM,0.365717012809222,KHM_16
14.42,0.0,2000,18,KHM,0.388267242163797,KHM_18
9.49,0.0,2000,19,KHM,0.347974821883781,KHM_19
11.19,0.0833333333333333,2005,1,KHM,-0.316497702924301,KHM_1
11.25,0.0833333333333333,2005,2,KHM,-0.171255094150105,KHM_2
6.16,0.0833333333333333,2005,3,KHM,-0.0378211287605723,KHM_3
7.27,0.0,2005,4,KHM,-0.225018973665358,KHM_4
7.05,0.0833333333333333,2005,5,KHM,-0.092205338114776,KHM_5
5.89,0.0833333333333333,2005,6,KHM,0.103847705629471,KHM_6
4.48,0.0833333333333333,2005,7,KHM,-0.0875632003237359,KHM_7
4.02,0.0833333333333333,2005,8,KHM,0.111679006556854,KHM_8
10.58,0.0833333333333333,2005,9,KHM,0.100190002146733,KHM_9
10.21,0.0833333333333333,2005,10,KHM,-0.0944189713513123,KHM_10
8.16,0.0833333333333333,2005,11,KHM,-0.0869900662529635,KHM_11
1.59,0.0833333333333333,2005,12,KHM,0.132787821405914,KHM_12
6.43,0.0,2005,13,KHM,0.115882473658312,KHM_13
18.0,0.0833333333333333,2005,14,KHM,-0.143434874227129,KHM_14
4.25,0.0833333333333333,2005,15,KHM,-0.119776214479804,KHM_15
2.42,0.0,2005,16,KHM,-0.0367048561192976,KHM_16
10.9,0.0833333333333333,2005,18,KHM,-0.140368044834157,KHM_18
11.7,0.0833333333333333,2005,19,KHM,-0.141837695404,KHM_19
12.76,0.0,2014,1,KHM,0.231158220831408,KHM_1
17.04,0.0,2014,2,KHM,0.264754181539106,KHM_2
3.07,0.0,2014,3,KHM,0.144725049926933,KHM_3
6.58,0.0,2014,4,KHM,0.0112553053304128,KHM_4
6.73,0.0,2014,5,KHM,0.334496393429529,KHM_5
7.04,0.0,2014,6,KHM,0.0357443087199208,KHM_6
9.93,0.0,2014,7,KHM,0.646523692375339,KHM_7
2.39,0.0,2014,8,KHM,0.0274581139915275,KHM_8
4.26,0.0,2014,9,KHM,0.0430283372365271,KHM_9
5.74,0.0,2014,10,KHM,0.106941158019037,KHM_10
11.44,0.0,2014,11,KHM,0.345908740369117,KHM_11
3.68,0.0,2014,12,KHM,0.0268605361244613,KHM_12
8.48,0.0,2014,13,KHM,-0.0063435086531375,KHM_13
12.5,0.0,2014,14,KHM,0.308906856278203,KHM_14
4.87,0.0,2014,15,KHM,0.134524803199441,KHM_15
7.2,0.0,2014,16,KHM,0.0106944683127886,KHM_16
10.23,0.0,2014,18,KHM,0.672754642596573,KHM_18
6.66,0.0,2014,19,KHM,0.683843059097881,KHM_19
26.38,0.0,2007,1,LBR,0.0304221141295211,LBR_1
27.94,0.0833333333333333,2007,2,LBR,-0.187395391184316,LBR_2
37.47,0.0,2007,4,LBR,0.168685878398006,LBR_4
18.18,0.0833333333333333,2007,5,LBR,0.0649709904480344,LBR_5
33.24,0.0,2007,6,LBR,-0.060872885517235,LBR_6
28.1,0.0833333333333333,2006,1,MLI,-0.225505591634112,MLI_1
16.46,0.0,2006,2,MLI,-0.0922967628756968,MLI_2
25.91,0.0833333333333333,2006,3,MLI,-0.0637722664688165,MLI_3
17.1,0.0,2006,4,MLI,-0.155551802247483,MLI_4
11.06,0.0,2006,5,MLI,-0.151640712527946,MLI_5
4.31,0.0,2006,6,MLI,-0.0514472475620569,MLI_6
5.07,0.0,2006,7,MLI,0.171120627791754,MLI_7
13.73,0.0833333333333333,2006,9,MLI,0.107560374396245,MLI_9
19.01,0.0833333333333333,2012,1,MLI,0.235197392135598,MLI_1
21.16,0.0833333333333333,2012,2,MLI,0.0162019607394825,MLI_2
36.98,0.0,2012,3,MLI,0.128667284391437,MLI_3
21.1,0.0,2012,4,MLI,0.217608646331991,MLI_4
21.43,0.0833333333333333,2012,9,MLI,0.0026786445178014,MLI_9
22.53,0.166666666666667,2018,1,MLI,-0.320420086838446,MLI_1
23.59,0.166666666666667,2018,2,MLI,-0.17333004961421,MLI_2
17.01,0.0833333333333333,2018,3,MLI,0.0254411745549003,MLI_3
22.87,0.0,2018,4,MLI,-0.0326297226193996,MLI_4
12.17,0.0,2018,5,MLI,-0.0326939183644366,MLI_5
9.52,0.0,2018,6,MLI,-0.0855730032554005,MLI_6
17.79,0.0,2018,7,MLI,0.106080912836543,MLI_7
20.36,0.166666666666667,2018,9,MLI,-0.116233289594585,MLI_9
15.58,0.08333333,2011,1,MOZ,-0.07578295,MOZ_1
23.31,0.08333333,2011,2,MOZ,-0.07825322,MOZ_2
31.39,0.0,2011,3,MOZ,0.008569396,MOZ_3
24.12,0.0,2011,4,MOZ,-0.1300814,MOZ_4
21.51,0.08333333,2011,5,MOZ,-0.09161065,MOZ_5
28.8,0.0,2011,6,MOZ,-0.2317698,MOZ_6
21.48,0.0,2011,7,MOZ,-0.183896,MOZ_7
22.51,0.08333333,2011,8,MOZ,-0.07185054,MOZ_8
19.22,0.1666667,2011,9,MOZ,-0.11824,MOZ_9
17.53,0.08333333,2011,10,MOZ,-0.1165105,MOZ_10
15.78,0.08333333,2011,11,MOZ,-0.1492522,MOZ_11
14.63,0.1666667,2004,1,MWI,-0.01445652,MWI_1
17.34,0.08333333,2004,2,MWI,0.1536573,MWI_2
16.56,0.0,2004,3,MWI,0.3831623,MWI_3
