dv,heat,year,region,country,rain,DM_urban_p,ED_educ_years_mean,ED_litt_p,EI_internet_week_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,DP_decide_money_p,DP_earn_more_equal_p,WK_working_paid_p,DP_owns_house_p,DP_owns_land_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_visits_p,DP_decide_contraception_p,DP_decide_no_contraception_p,DV_phys_partner_12m_p,DV_phys_12m_p,WL_wealth_median,DM_age_diff_mean,DM_age_diff_10plus_p,EI_women_elec_p,region_id
7.05,0.0833333333333333,2005,5,KHM,-0.092205338114776,10.79,3.89,72.19,,16.61,39.81,44.77,65.26,58.62,48.53,,,57.47,24.57,,,,6.0,7.05,24.8,2.56,5.4,16.77,KHM_5
5.89,0.0833333333333333,2005,6,KHM,0.103847705629471,6.11,5.03,78.65,,12.19,70.34,87.69,59.75,63.69,58.41,,,61.86,21.77,,,,6.78,5.89,42.6,3.19,8.67,27.84,KHM_6
4.48,0.0833333333333333,2005,7,KHM,-0.0875632003237359,32.0,3.84,68.27,,15.95,42.35,56.0,76.59,49.67,34.57,,,45.58,18.75,,,,6.05,4.48,32.76,3.65,18.03,13.39,KHM_7
4.02,0.0833333333333333,2005,8,KHM,0.111679006556854,58.67,6.58,87.0,,40.04,54.13,92.32,57.33,56.17,92.87,,,79.36,13.46,,,,7.06,4.02,74.01,4.92,28.21,93.36,KHM_8
10.58,0.0833333333333333,2005,9,KHM,0.100190002146733,6.19,3.76,60.19,,5.94,41.91,68.13,70.59,66.99,28.27,,,53.46,18.0,,,,14.4,10.58,32.76,2.39,4.44,9.93,KHM_9
10.21,0.0833333333333333,2005,10,KHM,-0.0944189713513123,15.23,3.62,64.06,,8.32,58.15,54.74,48.22,70.94,29.33,,,12.97,5.23,,,,12.01,10.21,29.15,2.78,4.49,12.81,KHM_10
8.16,0.0833333333333333,2005,11,KHM,-0.0869900662529635,19.44,2.89,50.92,,15.27,45.96,71.25,55.41,62.04,55.32,,,59.59,14.3,,,,7.4,8.16,34.94,2.3,10.79,23.89,KHM_11
1.59,0.0833333333333333,2005,12,KHM,0.132787821405914,4.27,4.06,68.26,,9.12,60.8,68.21,68.55,62.37,30.81,,,55.4,16.29,,,,1.4,1.59,34.94,2.05,3.1,12.36,KHM_12
6.43,0.0,2005,13,KHM,0.115882473658312,4.75,4.65,78.11,,7.42,43.17,69.7,76.28,80.55,39.35,,,68.17,6.74,,,,6.78,6.43,34.94,2.13,6.86,5.25,KHM_13
18.0,0.0833333333333333,2005,14,KHM,-0.143434874227129,17.48,2.28,54.08,,4.24,29.38,26.8,56.68,50.94,11.56,,,0.13,3.19,,,,18.27,18.0,24.8,3.1,5.6,5.29,KHM_14
4.25,0.0833333333333333,2005,15,KHM,-0.119776214479804,22.01,4.6,82.45,,20.5,65.97,81.93,48.12,62.39,65.13,,,33.9,5.1,,,,3.5,4.25,34.94,3.45,19.04,23.45,KHM_15
2.42,0.0,2005,16,KHM,-0.0367048561192976,31.15,4.07,64.97,,7.91,48.37,50.58,75.33,59.48,36.82,,,69.53,21.24,,,,3.52,2.42,32.46,2.81,12.37,24.66,KHM_16
10.9,0.0833333333333333,2005,18,KHM,-0.140368044834157,20.56,2.88,49.11,,7.86,36.86,9.5,76.71,45.1,21.01,,,59.5,20.18,,,,13.86,10.9,24.8,4.17,16.72,11.36,KHM_18
11.7,0.0833333333333333,2005,19,KHM,-0.141837695404,18.26,1.75,32.98,,5.65,17.2,21.62,18.05,48.32,23.63,,,17.1,5.45,,,,13.43,11.7,28.65,3.66,7.86,17.29,KHM_19
12.76,0.0,2014,1,KHM,0.231158220831408,24.21,4.98,72.51,,4.62,24.86,74.87,35.78,32.03,87.79,67.75,64.36,8.45,5.7,,,,14.17,12.76,59.05,3.65,8.16,79.19,KHM_1
17.04,0.0,2014,2,KHM,0.264754181539106,8.61,4.82,74.76,,3.77,26.24,53.21,87.57,53.63,64.72,56.17,48.91,65.0,18.11,,,,18.3,17.04,46.05,2.98,8.35,48.56,KHM_2
3.07,0.0,2014,3,KHM,0.144725049926933,8.75,5.81,80.46,,6.93,34.32,41.4,43.51,51.62,96.7,68.4,51.57,22.13,11.24,,,,3.7,3.07,44.24,2.67,4.8,37.8,KHM_3
6.58,0.0,2014,4,KHM,0.0112553053304128,7.82,5.42,72.17,,3.64,34.82,59.66,77.53,62.18,99.0,86.85,84.46,30.91,12.91,,,,7.53,6.58,46.05,2.79,8.24,53.02,KHM_4
6.73,0.0,2014,5,KHM,0.334496393429529,5.25,4.8,79.11,,5.48,36.34,58.35,90.3,52.44,94.39,64.72,56.21,64.97,9.13,,,,8.52,6.73,43.74,2.87,11.81,33.95,KHM_5
7.04,0.0,2014,6,KHM,0.0357443087199208,10.3,5.83,79.54,,5.64,45.39,87.06,77.65,53.3,99.17,78.0,53.06,49.72,24.77,,,,8.26,7.04,59.09,2.42,9.4,86.49,KHM_6
9.93,0.0,2014,7,KHM,0.646523692375339,10.52,4.3,69.93,,2.88,24.75,18.79,80.62,30.61,44.54,67.24,65.11,42.01,8.57,,,,10.6,9.93,37.3,3.94,8.9,21.72,KHM_7
2.39,0.0,2014,8,KHM,0.0274581139915275,82.47,8.39,91.33,,26.85,49.07,89.54,70.75,54.23,95.95,35.19,31.72,32.31,18.9,,,,3.26,2.39,74.72,4.11,15.04,99.92,KHM_8
4.26,0.0,2014,9,KHM,0.0430283372365271,3.18,4.59,67.91,,3.35,34.44,68.33,78.94,46.24,94.18,62.28,61.4,45.11,3.36,,,,3.87,4.26,49.16,2.55,10.47,48.93,KHM_9
5.74,0.0,2014,10,KHM,0.106941158019037,4.92,4.93,72.34,,3.45,22.55,42.96,80.43,41.06,84.62,57.54,55.53,51.99,20.4,,,,7.42,5.74,39.8,2.91,8.27,33.58,KHM_10
11.44,0.0,2014,11,KHM,0.345908740369117,17.92,4.5,67.02,,6.81,29.6,40.49,66.45,60.08,63.37,69.67,43.48,49.07,15.86,,,,16.01,11.44,44.36,2.85,8.14,44.69,KHM_11
3.68,0.0,2014,12,KHM,0.0268605361244613,3.7,5.21,74.2,,3.58,21.71,64.23,89.73,58.32,87.19,73.13,74.17,68.71,40.66,,,,4.88,3.68,48.37,2.19,8.12,42.25,KHM_12
8.48,0.0,2014,13,KHM,-0.0063435086531375,1.92,6.14,79.99,,5.79,24.41,65.37,70.79,52.25,72.86,61.94,60.9,50.17,21.95,,,,9.34,8.48,53.11,3.12,14.07,80.58,KHM_13
12.5,0.0,2014,14,KHM,0.308906856278203,7.03,4.2,58.56,,5.73,18.78,36.36,66.72,55.45,90.29,73.43,62.48,28.97,10.66,,,,13.63,12.5,39.44,3.55,11.37,27.62,KHM_14
4.87,0.0,2014,15,KHM,0.134524803199441,16.0,6.24,84.11,,11.79,41.28,76.25,79.38,56.35,98.71,50.9,48.76,46.0,29.35,,,,6.07,4.87,60.67,3.88,10.69,76.76,KHM_15
7.2,0.0,2014,16,KHM,0.0106944683127886,20.3,5.96,79.78,,5.27,17.2,43.09,80.25,40.57,58.42,57.04,48.01,69.39,17.48,,,,8.45,7.2,48.06,3.08,9.77,67.58,KHM_16
10.23,0.0,2014,18,KHM,0.672754642596573,9.23,4.01,54.38,,2.06,22.45,21.76,55.8,42.08,69.32,58.54,59.63,9.53,19.83,,,,11.03,10.23,37.24,3.28,2.77,22.56,KHM_18
6.66,0.0,2014,19,KHM,0.683843059097881,11.98,3.68,53.14,,10.77,32.22,29.37,23.95,63.36,94.33,57.31,57.33,36.94,6.97,,,,7.73,6.66,37.71,4.02,10.16,46.76,KHM_19
26.38,0.0,2007,1,LBR,0.0304221141295211,75.87,5.14,53.46,,26.82,65.36,47.41,21.4,29.08,57.68,,,,42.8,,,,32.5,26.38,21.57,6.82,30.22,7.08,LBR_1
27.94,0.0833333333333333,2007,2,LBR,-0.187395391184316,13.96,1.96,22.57,,4.57,32.38,22.42,11.15,64.57,26.14,,,,43.16,,,,27.99,27.94,10.94,8.79,32.05,0.07,LBR_2
37.47,0.0,2007,4,LBR,0.168685878398006,27.2,2.38,27.1,,5.15,43.05,18.24,14.84,29.57,18.57,,,,53.59,,,,42.15,37.47,9.11,8.04,35.61,0.64,LBR_4
18.18,0.0833333333333333,2007,5,LBR,0.0649709904480344,13.65,2.79,32.51,,9.74,35.05,13.32,13.74,41.97,8.82,,,,15.03,,,,20.01,18.18,9.11,7.68,28.11,1.01,LBR_5
33.24,0.0,2007,6,LBR,-0.060872885517235,9.47,2.18,30.77,,4.92,32.75,10.52,26.76,36.8,8.74,,,,25.24,,,,32.47,33.24,9.11,6.97,29.36,0.3,LBR_6
28.1,0.0833333333333333,2006,1,MLI,-0.225505591634112,16.27,0.68,8.98,,1.53,73.85,29.7,86.83,,20.9,,,14.07,15.45,74.43,,,29.43,28.1,13.11,14.35,63.55,11.13,MLI_1
16.46,0.0,2006,2,MLI,-0.0922967628756968,15.98,1.02,14.01,,2.81,76.87,40.81,89.06,,52.04,,,10.93,14.29,58.65,,,19.01,16.46,13.49,12.46,55.93,6.64,MLI_2
25.91,0.0833333333333333,2006,3,MLI,-0.0637722664688165,17.3,0.93,11.4,,3.19,72.24,43.64,83.31,,44.57,,,7.72,11.05,43.73,,,28.39,25.91,17.11,11.73,45.5,10.3,MLI_3
17.1,0.0,2006,4,MLI,-0.155551802247483,22.19,1.36,16.2,,3.91,65.45,37.3,85.98,,58.2,,,12.91,11.93,43.02,,,19.16,17.1,16.87,10.39,46.24,15.45,MLI_4
11.06,0.0,2006,5,MLI,-0.151640712527946,32.88,0.74,9.65,,5.27,55.84,29.26,87.17,,77.72,,,15.35,9.19,32.95,,,12.85,11.06,10.05,12.28,54.52,8.06,MLI_5
4.31,0.0,2006,6,MLI,-0.0514472475620569,24.83,0.91,10.47,,4.39,63.67,23.94,75.08,,80.79,,,6.25,6.75,47.08,,,4.92,4.31,7.14,13.01,73.02,11.75,MLI_6
5.07,0.0,2006,7,MLI,0.171120627791754,48.1,1.49,20.01,,4.15,47.46,25.88,97.83,,78.86,,,5.83,6.22,42.01,,,6.01,5.07,8.09,12.33,61.69,13.38,MLI_7
13.73,0.0833333333333333,2006,9,MLI,0.107560374396245,100.0,3.97,43.26,,16.55,87.01,86.88,91.28,,85.31,,,16.11,13.45,48.2,,,17.26,13.73,47.07,10.3,48.98,75.38,MLI_9
19.01,0.0833333333333333,2012,1,MLI,0.235197392135598,16.8,1.23,14.99,,4.06,53.71,30.68,77.42,13.39,48.85,51.2,40.35,7.09,6.34,,,,17.61,19.01,20.98,13.48,61.82,24.06,MLI_1
21.16,0.0833333333333333,2012,2,MLI,0.0162019607394825,7.25,1.75,19.56,,4.95,50.81,31.22,77.53,11.29,60.88,54.05,42.24,8.74,7.01,,,,19.55,21.16,22.84,11.62,55.57,24.56,MLI_2
36.98,0.0,2012,3,MLI,0.128667284391437,19.47,1.54,17.62,,4.55,48.7,30.8,74.83,13.5,49.13,53.49,44.59,6.35,7.15,,,,31.28,36.98,23.62,12.11,58.67,24.21,MLI_3
21.1,0.0,2012,4,MLI,0.217608646331991,11.55,1.18,14.55,,3.4,35.9,21.4,73.9,7.77,46.94,51.56,43.09,5.68,5.58,,,,18.21,21.1,20.56,10.22,47.93,17.45,MLI_4
21.43,0.0833333333333333,2012,9,MLI,0.0026786445178014,100.0,4.86,50.71,,15.38,64.76,73.65,79.66,19.97,83.17,31.46,19.27,11.56,13.8,,,,16.23,21.43,52.37,10.6,61.08,85.06,MLI_9
22.53,0.166666666666667,2018,1,MLI,-0.320420086838446,15.85,1.72,20.65,12.91,1.27,50.37,35.38,87.89,8.6,48.14,46.68,45.9,6.05,3.06,,39.35,50.41,20.63,22.53,25.06,13.24,59.98,39.06,MLI_1
23.59,0.166666666666667,2018,2,MLI,-0.17333004961421,7.47,2.59,26.29,10.8,4.01,50.25,43.94,83.74,9.86,57.4,29.8,35.25,8.02,9.13,,39.82,57.96,23.95,23.59,31.28,10.85,50.0,55.38,MLI_2
17.01,0.0833333333333333,2018,3,MLI,0.0254411745549003,12.06,1.85,22.16,3.45,1.2,39.57,38.16,78.15,4.42,48.59,36.31,43.16,5.24,3.88,,18.35,34.07,12.83,17.01,32.23,10.59,43.21,57.58,MLI_3
22.87,0.0,2018,4,MLI,-0.0326297226193996,6.98,1.71,20.15,5.74,1.52,44.08,36.26,77.99,12.5,64.71,24.51,22.66,1.66,3.75,,41.09,51.6,22.97,22.87,29.19,9.16,35.43,50.12,MLI_4
12.17,0.0,2018,5,MLI,-0.0326939183644366,9.96,1.45,15.54,3.37,1.9,30.91,26.2,80.54,10.22,64.14,33.64,46.21,20.4,13.43,,46.5,46.66,9.23,12.17,21.9,10.38,50.19,27.35,MLI_5
9.52,0.0,2018,6,MLI,-0.0855730032554005,10.09,1.44,18.63,6.59,2.58,35.37,26.09,67.42,7.93,69.49,52.65,33.89,6.74,6.64,,66.72,69.36,6.53,9.52,14.63,13.64,75.05,22.42,MLI_6
17.79,0.0,2018,7,MLI,0.106080912836543,20.39,1.58,19.37,4.84,4.09,63.15,19.19,78.35,6.38,59.87,17.78,7.53,6.93,6.48,,46.62,29.83,15.93,17.79,14.26,13.88,62.8,17.73,MLI_7
20.36,0.166666666666667,2018,9,MLI,-0.116233289594585,100.0,5.27,55.94,37.51,6.72,58.05,75.62,88.11,9.41,93.76,12.13,3.2,10.16,8.79,,49.33,52.1,17.82,20.36,57.33,10.92,63.47,92.73,MLI_9
15.58,0.08333333,2011,1,MOZ,-0.07578295,25.33,2.92,31.8,,7.12,44.99,9.41,56.74,41.41,18.79,52.73,49.52,10.59,3.79,,,,16.16,15.58,14.05,6.81,17.76,11.39,MOZ_1
23.31,0.08333333,2011,2,MOZ,-0.07825322,15.2,2.39,24.45,,4.35,27.57,7.32,34.66,36.89,7.04,71.88,77.13,49.53,12.75,,,,23.88,23.31,13.11,5.75,20.7,7.49,MOZ_2
31.39,0.0,2011,3,MOZ,0.008569396,35.17,3.2,28.16,,7.59,47.54,19.0,40.36,23.21,7.06,82.67,63.38,16.25,8.46,,,,33.97,31.39,13.11,4.79,14.32,18.63,MOZ_3
24.12,0.0,2011,4,MOZ,-0.1300814,16.94,2.55,24.58,,3.02,36.96,6.72,28.69,27.36,16.66,78.2,54.69,13.59,8.36,,,,26.46,24.12,11.15,4.97,13.28,8.78,MOZ_4
21.51,0.08333333,2011,5,MOZ,-0.09161065,11.75,2.94,23.83,,9.62,66.44,19.14,52.68,38.29,79.46,67.27,66.35,14.05,10.96,,,,25.71,21.51,10.05,5.84,14.06,14.12,MOZ_5
28.8,0.0,2011,6,MOZ,-0.2317698,36.56,4.94,49.38,,18.12,38.33,21.66,38.0,25.02,55.7,70.0,61.93,26.78,22.9,,,,32.6,28.8,19.14,7.33,22.62,27.65,MOZ_6
21.48,0.0,2011,7,MOZ,-0.183896,44.74,3.82,39.65,,12.16,48.75,30.07,38.48,25.58,30.07,47.32,48.27,18.0,8.15,,,,23.92,21.48,18.83,7.51,26.2,24.14,MOZ_7
22.51,0.08333333,2011,8,MOZ,-0.07185054,29.23,4.13,51.73,,2.34,26.73,17.13,45.68,20.48,28.28,61.21,45.17,21.4,12.83,,,,25.47,22.51,14.05,7.81,23.03,27.06,MOZ_8
19.22,0.1666667,2011,9,MOZ,-0.11824,30.46,4.33,55.82,,5.61,25.88,27.71,47.98,17.77,85.89,56.82,34.18,21.02,12.78,,,,20.65,19.22,16.87,6.99,15.26,31.08,MOZ_9
17.53,0.08333333,2011,10,MOZ,-0.1165105,73.84,6.32,76.76,,12.72,37.21,55.93,60.56,18.05,72.11,51.82,32.09,37.25,46.37,,,,21.01,17.53,43.65,6.06,14.25,68.94,MOZ_10
15.78,0.08333333,2011,11,MOZ,-0.1492522,100.0,7.81,85.73,,20.88,50.68,86.16,59.64,18.51,96.93,29.65,18.46,36.59,22.98,,,,20.75,15.78,63.59,5.84,16.42,90.89,MOZ_11
14.63,0.1666667,2004,1,MWI,-0.01445652,19.81,6.55,78.19,,18.94,66.22,10.33,50.45,,36.01,,,25.76,6.46,77.93,,,18.34,14.63,12.7,7.09,16.31,13.53,MWI_1
17.34,0.08333333,2004,2,MWI,0.1536573,17.53,4.59,60.87,,13.35,66.72,9.14,29.31,,26.99,,,17.78,7.4,68.68,,,21.67,17.34,12.7,5.51,9.96,8.06,MWI_2
16.56,0.0,2004,3,MWI,0.3831623,17.35,4.3,59.13,,10.79,66.58,7.95,40.44,,21.74,,,15.52,5.55,56.69,,,19.14,16.56,13.67,6.05,11.31,8.28,MWI_3
17.95,0.25,2010,1,MWI,0.1054756,9.94,7.02,79.66,,15.71,64.99,19.05,44.25,21.4,37.63,,,28.74,11.82,,,,16.22,17.95,11.15,6.55,15.17,8.87,MWI_1
12.98,0.25,2010,2,MWI,0.1120328,18.61,4.97,64.48,,10.38,54.62,13.08,31.99,26.03,45.8,,,12.26,8.46,,,,14.4,12.98,10.05,5.2,8.6,8.6,MWI_2
14.45,0.1666667,2010,3,MWI,-0.2223606,20.99,5.29,67.5,,12.17,58.04,17.8,39.1,21.66,46.26,,,17.52,9.48,,,,15.35,14.45,12.79,5.75,12.29,14.36,MWI_3
19.66,0.08333333,2015,1,MWI,-0.726257,18.09,7.26,80.8,5.31,10.01,33.23,16.45,25.07,25.6,35.74,60.54,60.06,23.75,10.83,,12.38,19.88,17.26,19.66,19.46,6.3,16.05,14.54,MWI_1
14.59,0.1666667,2015,2,MWI,-0.4086435,19.14,5.88,70.75,5.6,8.54,31.69,10.39,28.21,22.76,28.54,59.21,56.81,18.25,8.46,,10.36,28.14,14.77,14.59,16.32,4.85,7.64,11.96,MWI_2
16.71,0.1666667,2015,3,MWI,-0.4687817,17.57,5.71,71.11,3.44,7.57,27.56,11.29,29.52,25.13,33.44,58.57,57.86,17.53,8.18,,15.65,36.12,17.25,16.71,17.5,5.24,11.71,14.93,MWI_3
13.62,0.0,2013,1,NAM,0.08696213,35.55,8.75,92.09,,17.85,58.37,36.18,44.29,28.08,94.3,54.52,45.8,46.59,41.76,,,,24.5,13.62,21.61,6.02,19.62,43.05,NAM_1
13.31,0.3333333,2013,2,NAM,-0.4563577,93.93,9.95,97.58,,60.42,66.41,65.32,39.03,23.2,97.06,32.46,17.25,45.96,24.23,,,,16.74,13.31,72.72,4.31,21.03,82.27,NAM_2
14.51,0.0,2013,3,NAM,-0.4945652,72.11,9.04,95.44,,56.53,73.35,68.84,25.83,24.31,90.44,32.96,14.48,35.76,17.8,,,,18.02,14.51,67.84,4.2,25.62,84.52,NAM_3
17.83,0.08333333,2013,4,NAM,-0.218987,65.72,9.32,95.92,,33.97,53.48,51.93,30.4,23.72,90.39,29.09,19.76,45.58,26.26,,,,24.93,17.83,59.41,4.32,16.94,74.33,NAM_4
34.75,0.0,2013,5,NAM,0.008271633,35.32,7.33,90.29,,10.28,33.87,21.67,50.06,23.73,73.15,48.1,36.21,35.87,35.61,,,,34.44,34.75,16.38,6.39,21.87,25.95,NAM_5
13.38,0.1666667,2013,6,NAM,-0.6237583,98.34,10.91,96.49,,69.88,67.36,67.27,38.13,28.32,89.19,31.49,14.8,48.21,25.76,,,,14.12,13.38,72.72,4.67,9.69,77.0,NAM_6
12.35,0.5,2013,7,NAM,0.0253759,42.5,6.72,76.51,,23.25,58.3,42.7,34.65,40.54,91.73,37.31,19.55,21.33,24.75,,,,11.01,12.35,31.07,7.42,32.63,55.79,NAM_7
6.94,0.0,2013,8,NAM,-0.0008295185,16.23,7.83,91.56,,15.77,58.38,15.45,42.72,9.53,86.62,23.35,19.77,65.41,10.8,,,,16.5,6.94,14.61,7.72,32.79,17.85,NAM_8
22.85,0.1666667,2013,9,NAM,-0.3247688,44.72,7.1,77.18,,22.49,66.42,33.89,41.41,34.71,88.48,31.49,18.46,38.38,27.92,,,,26.38,22.85,34.86,5.46,23.88,38.3,NAM_9
5.38,0.0,2013,10,NAM,0.149837,6.18,8.36,93.86,,15.17,36.64,6.1,47.33,46.77,75.84,19.85,19.67,47.69,21.25,,,,6.81,5.38,20.84,6.8,59.25,11.29,NAM_10
10.85,0.08333333,2013,11,NAM,0.0008440897,59.11,9.93,97.96,,41.34,61.46,33.44,32.77,21.96,88.99,21.5,20.18,50.26,10.7,,,,9.49,10.85,32.49,5.97,25.15,38.03,NAM_11
11.48,0.0,2013,12,NAM,-0.09807674,20.26,8.77,94.87,,33.13,60.92,29.03,54.57,13.26,80.34,24.76,23.5,75.59,32.03,,,,15.36,11.48,23.99,5.77,28.86,32.13,NAM_12
15.72,0.1666667,2013,13,NAM,-0.2432153,73.67,8.15,87.3,,35.55,56.76,51.77,35.15,16.2,93.87,26.81,19.08,35.77,23.65,,,,21.53,15.72,59.23,5.48,25.7,77.89,NAM_13
19.99,0.0,2008,1,NGA,-0.2609603,29.2,5.72,47.65,,10.03,47.65,32.21,46.11,14.41,52.14,,,7.53,7.88,,,,19.94,19.99,25.34,9.92,40.52,34.44,NGA_1
14.6,0.0,2008,2,NGA,-0.1665594,26.27,2.47,22.78,,3.09,35.19,14.42,71.89,6.34,53.25,,,3.49,3.06,,,,13.73,14.6,14.71,11.25,48.92,25.81,NGA_2
6.42,0.0,2008,3,NGA,-0.2696624,20.41,2.17,21.07,,3.84,48.11,17.89,86.31,3.95,87.67,,,3.05,2.11,,,,5.21,6.42,20.4,12.35,61.06,38.2,NGA_3
15.63,0.0,2008,4,NGA,-0.1803446,44.03,9.22,81.34,,17.99,53.99,44.66,26.73,20.38,51.44,,,9.01,7.11,,,,17.2,15.63,39.93,10.37,46.87,66.7,NGA_4
23.85,0.0,2008,5,NGA,-0.06840548,33.03,8.96,77.78,,19.68,53.86,58.59,59.11,16.1,58.57,,,18.23,10.27,,,,25.77,23.85,36.23,8.56,33.01,59.08,NGA_5
15.13,0.0,2008,6,NGA,0.1471591,61.59,9.08,79.77,,18.28,76.95,68.54,70.08,10.29,85.64,,,22.47,8.27,,,,12.98,15.13,43.82,8.52,32.62,75.17,NGA_6
14.03,0.08333333,2013,1,NGA,-0.1005866,27.3,6.34,54.29,,9.25,42.67,43.3,48.27,10.19,76.49,35.77,20.64,5.85,7.59,,,,13.33,14.03,31.47,9.27,30.12,47.7,NGA_1
13.0,0.08333333,2013,2,NGA,0.6207292,27.39,3.15,28.29,,4.47,19.15,15.7,73.52,10.16,64.83,4.78,6.12,1.65,1.11,,,,9.91,13.0,21.13,11.43,50.03,31.01,NGA_2
3.31,0.08333333,2013,3,NGA,0.7566798,28.65,2.68,25.78,,4.59,33.05,17.17,87.71,3.38,91.79,14.17,10.35,1.52,1.23,,,,3.45,3.31,23.62,12.24,58.17,43.55,NGA_3
14.15,0.0,2013,4,NGA,-0.1576906,70.35,9.65,84.19,,17.62,41.92,42.99,40.9,18.54,63.15,28.02,21.54,11.56,8.25,,,,13.37,14.15,42.43,10.02,37.66,65.83,NGA_4
18.84,0.0,2013,5,NGA,-0.1455822,38.7,9.49,81.01,,15.28,41.9,51.75,47.95,19.73,75.79,18.65,20.72,11.08,12.77,,,,16.15,18.84,41.91,8.07,33.14,70.98,NGA_5
13.93,0.0,2013,6,NGA,0.007070772,76.8,9.7,81.97,,11.3,63.62,63.14,80.87,14.0,89.87,11.79,14.49,16.54,12.95,,,,11.54,13.93,49.16,7.86,26.53,82.79,NGA_6
19.92,0.08333333,2018,1,NGA,-0.05490964,33.75,6.73,49.57,8.78,3.81,20.92,30.27,69.81,17.09,50.1,15.27,12.66,10.43,10.75,,18.59,37.36,18.27,19.92,35.23,9.85,43.81,54.56,NGA_1
19.39,0.0,2018,2,NGA,0.4296704,28.66,3.84,31.77,4.48,2.42,17.98,15.41,80.44,5.81,69.91,6.13,9.19,3.02,1.69,,31.03,30.56,14.99,19.39,22.42,11.4,50.05,38.74,NGA_2
6.57,0.0,2018,3,NGA,0.2359598,30.72,3.38,29.04,4.34,1.83,25.11,15.65,88.22,9.34,75.98,4.13,6.41,7.17,2.01,,21.64,48.08,5.92,6.57,23.46,12.38,58.49,47.49,NGA_3
16.67,0.08333333,2018,4,NGA,-0.256047,72.9,10.16,79.27,19.37,10.91,43.91,38.13,39.62,19.81,68.37,26.75,31.06,14.21,8.76,,21.32,31.09,14.91,16.67,46.23,9.29,47.49,63.92,NGA_4
17.52,0.08333333,2018,5,NGA,-0.2399223,41.67,10.28,78.95,21.01,9.07,31.23,53.28,57.09,23.94,74.53,15.45,15.0,17.09,12.22,,21.08,35.73,18.61,17.52,46.09,7.93,32.37,73.63,NGA_5
10.44,0.0,2018,6,NGA,0.05140388,80.96,10.29,80.6,27.55,4.74,44.82,62.67,72.75,15.57,77.03,8.19,5.53,23.22,11.11,,25.28,24.9,7.47,10.44,49.16,7.68,26.86,85.73,NGA_6
12.4,0.0,2012,1,PAK,-0.139234,22.05,2.62,33.88,,2.8,1.38,34.46,37.88,13.51,48.32,2.76,2.21,8.43,5.94,,,,11.13,12.4,56.95,3.42,5.27,65.73,PAK_1
11.11,0.0,2012,2,PAK,-0.4017563,32.09,2.52,27.61,,3.01,1.9,37.09,37.02,9.14,52.95,6.82,0.84,6.38,4.1,,,,10.91,11.11,53.24,3.29,3.75,60.26,PAK_2
21.51,0.0,2012,3,PAK,0.07991684,11.1,1.44,17.69,,2.16,2.69,15.83,46.93,12.05,69.89,25.74,5.55,6.86,5.3,,,,20.53,21.51,42.97,4.0,6.68,64.63,PAK_3
5.93,0.0,2012,5,PAK,-0.08086924,9.72,1.72,22.41,,0.51,0.96,16.31,31.71,29.71,79.29,21.6,21.19,7.13,2.09,,,,5.93,5.93,46.1,3.67,3.69,59.29,PAK_5
8.07,0.08333333,2017,2,PAK,-0.1513047,36.0,2.7,29.21,6.68,4.42,2.59,34.64,35.73,10.25,65.64,1.15,0.62,5.47,3.95,,6.63,6.76,7.53,8.07,59.39,3.19,5.51,59.14,PAK_2
20.62,0.3333333,2017,4,PAK,-0.4638747,18.5,0.85,10.04,1.33,1.84,9.11,17.71,28.65,24.23,60.5,1.14,0.38,1.73,1.13,,8.93,5.95,20.47,20.62,56.02,3.08,3.94,53.37,PAK_4
31.08,0.0,2000,1,PER,0.490644,28.14,6.57,86.25,,7.61,68.74,39.23,69.12,,37.52,,,31.98,7.56,83.54,,,40.95,31.08,23.92,4.41,9.66,39.18,PER_1
25.8,0.0,2000,2,PER,-0.1433607,47.51,7.17,81.27,,12.08,52.17,53.02,50.0,,49.3,,,48.93,13.04,81.79,,,38.55,25.8,30.69,3.44,6.9,59.52,PER_2
38.78,0.0,2000,3,PER,-0.1251013,28.75,6.28,74.39,,5.31,62.71,35.43,35.13,,56.66,,,64.28,8.69,87.31,,,49.94,38.78,16.43,3.45,6.67,53.29,PER_3
30.16,0.0,2000,4,PER,0.1378349,85.91,10.23,94.96,,31.91,74.06,76.33,66.34,,79.88,,,71.54,30.73,77.72,,,48.79,30.16,63.11,4.0,13.25,88.67,PER_4
28.61,0.0,2000,5,PER,-0.2783499,44.12,6.87,79.47,,11.53,49.25,34.19,44.93,,46.43,,,45.28,10.69,59.44,,,42.31,28.61,16.49,3.62,5.7,48.08,PER_5
22.94,0.0,2000,6,PER,0.3203938,25.41,5.77,78.42,,4.82,69.74,26.51,60.37,,50.43,,,49.06,12.44,82.79,,,32.54,22.94,17.96,4.18,20.16,32.33,PER_6
40.86,0.0,2000,8,PER,-0.1401352,42.04,6.8,76.81,,17.26,76.14,45.99,65.59,,36.97,,,43.27,20.27,82.28,,,57.25,40.86,26.33,3.8,16.51,67.26,PER_8
21.67,0.0,2000,9,PER,-0.04232532,16.47,5.35,73.55,,5.28,45.55,25.47,51.68,,29.69,,,40.84,16.86,72.12,,,28.97,21.67,17.96,3.46,8.82,36.7,PER_9
