dv,heat,year,region,country,rain,DM_urban_p,ED_educ_years_mean,ED_litt_p,EI_internet_week_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,DP_decide_money_p,DP_earn_more_equal_p,WK_working_paid_p,DP_owns_house_p,DP_owns_land_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_visits_p,DP_decide_contraception_p,DP_decide_no_contraception_p,DV_phys_partner_12m_p,DV_phys_12m_p,WL_wealth_median,DM_age_diff_mean,DM_age_diff_10plus_p,EI_women_elec_p,region_id
28.54,0.0,2004,5,CMR,-0.130367051796915,43.44,6.53,66.71,,3.8,30.63,20.98,41.5,,25.74,,,11.21,7.85,83.17,,,41.62,28.54,12.49,9.99,31.68,31.32,CMR_5
34.56,0.0,2004,6,CMR,-0.500566697442122,48.81,5.1,62.58,,19.16,52.35,38.81,56.78,,28.06,,,22.04,19.75,67.84,,,42.56,34.56,12.49,7.3,31.23,43.76,CMR_6
26.09,0.0,2004,7,CMR,-0.178170312631201,52.55,7.68,77.73,,7.37,51.82,40.14,38.61,,42.33,,,16.35,6.76,55.89,,,40.63,26.09,30.9,8.49,30.48,63.17,CMR_7
32.75,0.0,2004,8,CMR,-0.264992981152699,100.0,8.87,94.23,,31.05,73.66,75.46,77.0,,84.02,,,42.99,27.85,68.41,,,48.4,32.75,43.63,7.11,24.06,97.48,CMR_8
27.85,0.0,2011,1,CMR,-0.173236455827094,91.76,8.8,93.01,,13.95,38.21,84.61,66.64,13.25,82.16,,,15.64,16.82,67.09,,,25.81,27.85,48.89,7.83,35.15,92.12,CMR_1
26.68,0.0833333333333333,2011,2,CMR,-0.125935523252727,31.35,2.23,29.61,,3.35,17.01,21.94,73.38,13.57,48.53,,,13.05,11.56,69.18,,,25.18,26.68,15.2,11.8,49.29,25.09,CMR_2
36.82,0.0,2011,3,CMR,-0.180691300343899,39.03,7.54,88.78,,14.09,36.59,58.6,62.54,15.17,60.63,,,16.3,17.04,66.57,,,37.99,36.82,34.28,7.43,26.24,65.12,CMR_3
16.15,0.0833333333333333,2011,4,CMR,-0.0857648542196261,46.35,7.42,89.11,,6.39,36.75,52.66,80.5,15.45,54.68,,,12.8,18.96,74.58,,,17.18,16.15,30.56,10.03,37.04,63.84,CMR_4
26.48,0.0833333333333333,2011,5,CMR,-0.116653651294579,42.6,7.29,79.95,,11.17,37.0,41.28,60.32,17.77,49.94,,,17.16,16.73,84.0,,,28.13,26.48,22.49,9.98,36.97,50.06,CMR_5
33.49,0.0833333333333333,2011,6,CMR,-0.0473208061230853,46.25,5.54,71.43,,6.36,22.53,47.29,58.56,10.14,61.2,,,7.59,17.86,69.74,,,32.93,33.49,19.21,7.5,30.8,51.14,CMR_6
27.77,0.0,2011,7,CMR,-0.0954790047481588,51.84,8.0,82.26,,10.14,36.44,62.27,52.81,12.85,55.26,,,17.45,16.48,80.85,,,33.05,27.77,30.4,8.17,30.28,62.17,CMR_7
30.08,0.0,2011,8,CMR,-0.170847821243572,100.0,9.66,94.33,,25.69,49.52,90.89,68.94,15.16,80.63,,,27.7,30.66,63.65,,,36.39,30.08,52.26,7.56,24.4,99.33,CMR_8
12.43,0.25,2018,1,CMR,-0.4612796133237,93.88,9.93,95.44,45.98,9.58,21.22,80.3,46.9,27.85,82.29,11.09,4.15,14.46,16.65,,21.49,35.12,15.99,12.43,56.69,7.53,33.48,96.21,CMR_1
16.65,0.0,2018,2,CMR,0.0154778685321565,31.69,2.87,32.54,4.4,2.04,7.9,13.86,69.12,7.1,24.37,7.88,7.54,3.97,6.78,,30.19,38.82,16.22,16.65,17.11,12.01,53.39,28.88,CMR_2
14.15,0.0,2018,4,CMR,-0.584462374854965,52.55,8.3,88.43,19.94,3.3,22.42,56.51,71.32,16.56,47.03,26.06,22.28,9.92,17.66,,23.26,18.4,12.63,14.15,40.79,9.8,41.92,80.54,CMR_4
